Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Fire Arm Used Flag,Location,Age_Range
KC24085953,11/17/2024,17:15,11/17/2024,17:15,,,City Weapons Offense,520,Weapon Law Violations,123,2200  BROOKLYN AVE,KANSAS CITY,64127,PJ1841,CPD,true,SUS,W,M,31,true,POINT (-94.5568 39.08556),25-34
KC24085953,11/17/2024,17:15,11/17/2024,17:15,,,City Weapons Offense,520,Weapon Law Violations,123,2200  BROOKLYN AVE,KANSAS CITY,64127,PJ1841,CPD,false,VIC,W,M,50,true,POINT (-94.5568 39.08556),45-54
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),120,Robbery,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,VIC,,,,true,POINT (-94.55684 38.99969),
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),120,Robbery,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,SUS,B,M,,true,POINT (-94.55684 38.99969),
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),13A,Aggravated Assault,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,VIC,,,,true,POINT (-94.55684 38.99969),
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),13A,Aggravated Assault,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,SUS,B,M,,true,POINT (-94.55684 38.99969),
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),120,Robbery,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,VIC,B,M,36,true,POINT (-94.55684 38.99969),35-44
KC24085874,11/17/2024,07:40,11/17/2024,07:40,,,Robbery (Business),13A,Aggravated Assault,241,7000  PROSPECT AVE,KANSAS CITY,64132,PJ5341,MPD,false,VIC,B,M,36,true,POINT (-94.55684 38.99969),35-44
KC24085873,11/17/2024,06:57,11/17/2024,06:57,11/17/2024,08:00,Assault (Aggravated),13A,Aggravated Assault,324,2600  CLEVELAND AVE,KANSAS CITY,64127,,EPD,false,VIC,W,M,24,true,POINT (-94.5386 39.07831),18-24
KC24085873,11/17/2024,06:57,11/17/2024,06:57,11/17/2024,08:00,Assault (Aggravated),13A,Aggravated Assault,324,2600  CLEVELAND AVE,KANSAS CITY,64127,,EPD,false,SUS,W,F,26,true,POINT (-94.5386 39.07831),25-34
KC24085873,11/17/2024,06:57,11/17/2024,06:57,11/17/2024,08:00,Assault (Aggravated),13A,Aggravated Assault,324,2600  CLEVELAND AVE,KANSAS CITY,64127,,EPD,false,VIC,W,M,25,true,POINT (-94.5386 39.07831),25-34
KC24085873,11/17/2024,06:57,11/17/2024,06:57,11/17/2024,08:00,Assault (Aggravated),13A,Aggravated Assault,324,2600  CLEVELAND AVE,KANSAS CITY,64127,,EPD,false,VIC,W,M,28,true,POINT (-94.5386 39.07831),25-34
KC24085873,11/17/2024,06:57,11/17/2024,06:57,11/17/2024,08:00,Assault (Aggravated),13A,Aggravated Assault,324,2600  CLEVELAND AVE,KANSAS CITY,64127,,EPD,false,VIC,W,M,41,true,POINT (-94.5386 39.07831),35-44
KC24085854,11/17/2024,02:13,11/17/2024,02:13,,,Alcohol Influence Report,90D,Driving Under the Influence,112,E 12TH ST and GRAND BLVD,KANSAS CITY,64106,PJ1022,CPD,false,ARR CHA SUS VDR,B,M,27,true,POINT (-94.58092 39.09984),25-34
KC24085803,11/16/2024,19:36,11/16/2024,19:36,,,Robbery (Armed Street),120,Robbery,323,14400  S US 71 HWY,KANSAS CITY,,,EPD,false,SUS,B,M,,true,POINT (-94.5275 38.8642),
KC24085803,11/16/2024,19:36,11/16/2024,19:36,,,Robbery (Armed Street),120,Robbery,323,14400  S US 71 HWY,KANSAS CITY,,,EPD,false,VIC,B,M,25,true,POINT (-94.5275 38.8642),25-34
KC24085779,11/16/2024,17:00,11/16/2024,17:00,,,Kidnapping,100,Kidnapping / Abduction,343,E I 70 HIGHWAY OFF RAMP E and VAN BRUNT BLVD,KANSAS CITY,64128,PJ2483,EPD,false,VIC,B,F,42,true,POINT (-94.52567 39.11252),35-44
KC24085779,11/16/2024,17:00,11/16/2024,17:00,,,Kidnapping,100,Kidnapping / Abduction,343,E I 70 HIGHWAY OFF RAMP E and VAN BRUNT BLVD,KANSAS CITY,64128,PJ2483,EPD,false,SUS,W,F,,true,POINT (-94.52567 39.11252),
KC24085666,11/16/2024,23:00,11/15/2024,23:00,,,Robbery (Armed Street),120,Robbery,321,E 12TH ST and PROSPECT AVE,KANSAS CITY,64127,PJ1086,EPD,false,VIC,B,F,50,true,POINT (-94.55143 39.09888),45-54
KC24085666,11/16/2024,23:00,11/15/2024,23:00,,,Robbery (Armed Street),120,Robbery,321,E 12TH ST and PROSPECT AVE,KANSAS CITY,64127,PJ1086,EPD,false,SUS,B,M,,true,POINT (-94.55143 39.09888),
